AX,AY,AZ,GX,GY,GZ,Output
0.21728516,4.3500824,10.0112,-0.26075745,0.45690918,-0.12606812,1
0.7823181,4.2950134,11.294495,-0.42694092,0.1927185,-0.22727966,1
0.26516724,2.7651215,12.60173,-0.4961853,-0.020339966,-0.27520752,1
-0.601532,1.5368958,14.119644,-0.42907715,-0.46774292,-0.26029968,1
-0.79307556,1.0412903,16.003891,-0.17979431,-0.9375305,-0.20489502,1
-0.6685791,1.1011505,16.865799,0.13871765,-1.040863,-0.14204407,1
-0.28311157,1.704483,16.011078,0.3592224,-0.6392517,-0.11116028,1
-1.2024841,2.2838898,13.585739,0.4252777,-0.088516235,-0.06854248,1
-2.6988525,3.047638,10.482864,0.32939148,0.31628418,0.045440674,1
-3.2088165,3.2487488,9.345612,0.16960144,0.42388916,0.24571228,1
-3.6134338,3.478592,8.699173,0.011947632,0.43666077,0.482193,1
-2.7132263,3.4522552,8.66806,-0.06262207,0.32481384,0.6590271,1
-0.9079895,2.6861115,8.58905,-0.063690186,-0.012878418,0.6622162,1
-0.50816345,2.1498108,9.388702,0.0012969971,-0.3409729,0.5983124,1
-0.7308197,1.8529205,10.549896,0.19624329,-0.46348572,0.62280273,1
-0.7212372,1.8433533,9.472504,0.33366394,-0.5870514,0.67074585,1
-0.0843811,1.972641,8.948181,0.5680084,-0.87254333,0.68460083,1
0.5883789,1.9893951,8.210754,0.66282654,-0.94818115,0.65689087,1
0.9355469,2.0420685,7.557144,0.71502686,-1.0131531,0.6036377,1
1.2898865,2.0660095,6.9418335,0.72779846,-1.0035706,0.56422424,1
1.735199,2.3605042,6.113434,0.6660156,-0.97906494,0.48965454,1
1.790268,2.5687866,6.108658,0.5573578,-0.90130615,0.41508484,1
1.7088776,2.585556,6.132599,0.3826599,-0.6946411,0.3053589,1
1.462265,2.6430206,6.4246826,0.19197083,-0.470932,0.20628357,1
0.84695435,2.1498108,7.9138794,0.03112793,-0.24191284,0.15089417,1
0.5859833,1.5727997,9.158859,0.032180786,-0.055480957,0.16900635,1
0.631485,1.3501434,9.565872,0.09184265,0.20657349,0.22227478,1
0.94033813,1.4123993,9.393494,0.27293396,0.7306824,0.31814575,1
0.45669556,1.2400055,7.722351,0.3592224,0.85424805,0.35009766,1
0.47825623,2.2551575,7.315323,0.39012146,0.7722168,0.38739014,1
1.2731323,3.258316,7.4350433,0.31874084,0.71043396,0.29577637,1
1.0169525,3.186493,6.999298,0.19729614,0.4206848,0.22120667,1
0.7296448,2.7746887,7.741501,0.067337036,0.0052337646,0.18286133,1
0.46148682,2.1258698,9.0224,-0.040252686,-0.27493286,0.19458008,1
